Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0ElpbbncWT9aS7mgoqEHbQ,"Where's My Love - Acoustic","Where's My Love","SYML",2017-07-07,239880,76,,2025-03-25T21:28:32Z,"","Nettwerk Music Group",0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,4
1MrSbSu9UNo7Aucwrf32WJ,"green to blue - slowed + reverbed","green to blue (slowed + reverbed)","daniel.mp3",2022-10-06,187068,73,,2025-03-25T21:26:25Z,"dark ambient","daniel.mp3. Distributed exclusively by Amuseio AB",0.202,0.0335,4,-28.549,0,0.0397,0.977,0.97,0.131,0.0954,66.03,4
4NgherJDfCXWBZBYheM4jK,"WASTE","DISORDER","KXLLSWXTCH",2021-10-29,120428,75,,2025-03-25T21:19:16Z,"dark trap","KILL! / EMPIRE",0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,4
7g3g00RKlqSIe2G8KKCgsE,"Killswitch Lullaby","Killswitch Lullaby","Flawed Mangoes",2023-08-02,147096,74,,2025-03-25T21:05:55Z,"","Flawed Mangoes",0.572,0.267,4,-17.263,0,0.0391,0.967,0.94,0.0995,0.4,124.052,3
4JdYapRlYv67LnjrkDhZVX,"Think Of Me Once In A While, Take Care","Agony","Take Care",2022-09-10,103500,75,,2025-03-25T21:04:54Z,"slowcore","Take Care",0.209,0.142,3,-11.37,1,0.0416,0.902,0.95,0.0945,0.0386,71.02,3
1SKPmfSYaPsETbRHaiA18G,"Somewhere Only We Know","Hopes And Fears","Keane",2004-05-10,237146,86,,2025-03-13T21:10:35Z,"","Universal-Island Records Ltd.",0.448,0.665,9,-4.203,1,0.026,0.06,0.0000255,0.0828,0.304,172.004,4
40x5K8xyIWVmSeUrYjj0os,"Lost on You","Lost On You","LP",2016-12-09,268465,75,,2025-03-13T21:02:02Z,"","BMG Rights Management (US) LLC",0.432,0.724,5,-6.328,0,0.0361,0.0996,0,0.0931,0.679,173.973,4
0GNI8K3VATWBABQFAzBAYe,"Stay","Unapologetic (Deluxe)","Rihanna,Mikky Ekko",2012-12-11,240706,76,,2025-03-13T20:36:08Z,"","Def Jam Recordings",0.621,0.31,9,-10.164,0,0.0283,0.945,0.0000612,0.117,0.125,111.881,4
1lb0KfG9EyfSBsEifTUtXY,"someday i'll get it","someday i'll get it","Alek Olsen",2023-10-26,94750,77,,2025-03-09T17:14:51Z,"","Alek Olsen",0.438,0.051,8,-22.44,1,0.0373,0.93,0.916,0.113,0.102,102.711,3
3A1BJKGMsa8JqO8M8zztyq,"Me Gustas Tu","Me Gustas Tu EP","Manu Chao",2023-02-13,239986,62,,2025-03-08T22:58:40Z,"música alternativa latina","Radio Bemba",0.657,0.742,11,-6.822,0,0.0827,0.662,0.493,0.222,0.909,175.943,4
3AeqFxtLidWu1awXIErzcO,"Troubled Waters","You'll Be Alright, Kid (Chapter 1)","Alex Warren",2024-09-27,197775,78,,2025-03-08T17:11:48Z,"","Atlantic Records",0.669,0.705,11,-4.131,0,0.0674,0.0232,0,0.104,0.526,115.03,4
5v3MSh7CD3VNyCwAoSha5p,"Half of forever","Half of forever","Henrik",2024-01-05,153250,74,,2025-03-08T17:05:38Z,"folk cristiano,folk pop","North Main 2024",0.75,0.313,9,-7.334,1,0.0298,0.733,0.0000901,0.259,0.478,76.507,4
2eAvDnpXP5W0cVtiI0PUxV,"Dandelions","Safe Haven","Ruth B.",2017-05-05,233720,87,,2025-03-08T14:00:54Z,"","Columbia",0.609,0.692,1,-2.958,1,0.0259,0.0157,0,0.0864,0.454,116.959,3
3xkHsmpQCBMytMJNiDf3Ii,"Beautiful Things","Fireworks & Rollerblades","Benson Boone",2024-04-05,180304,91,,2025-03-08T13:23:11Z,"","Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,91,,2025-03-08T13:11:37Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,94,,2025-03-08T13:05:32Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
1HJU78CRk4vxvjE5Cs1BCt,"Vidrado Em Você","Vidrado Em Você","Dj Guuga,Mc Livinho",2019-06-11,134769,82,,2025-03-04T12:42:47Z,"funk,piseiro,brega funk,funk brasileño,arrocha,funk carioca","GR6 Music",0.844,0.925,2,0.303,1,0.1,0.14,0.00000767,0.109,0.589,159.929,4
1iGlVlQlv3Vkrkn6BiHOkB,"Bonde das Oncinhas","Bonde das Oncinhas","Dj LK da Escócia",2024-12-20,92307,67,,2025-03-04T12:42:23Z,"funk carioca,funk,funk brasileño","Sony Music Entertainment",0.916,0.686,1,-3.517,0,0.271,0.368,0,0.129,0.779,130.183,4
6ebGu8ceqtsC8YxiNhlII9,"Sons of Mars","Songs of Rome","Farya Faraji",2022-09-06,243493,45,,2025-03-01T13:38:23Z,"medieval","Farya Faraji",0.528,0.183,3,-19.622,0,0.0505,0.918,0.244,0.109,0.175,150.02,4
6QevmiXQeV3CDPRDVLLGPv,"Media Vita","The Best of ANÚNA","Anúna,Michael McGlynn",2010-02-10,175986,35,,2025-03-01T13:31:30Z,"celta,coral,medieval","Danú",0.223,0.285,11,-12.176,1,0.0343,0.798,0.0000623,0.106,0.0362,104.171,5
4UX4oknLDzFuCVHY3tmF76,"Vivamus","Songs of Rome and Byzantium, Vol. 3","Farya Faraji",2023-12-05,206456,29,,2025-03-01T13:26:58Z,"medieval","Farya Faraji",0.75,0.175,8,-14.945,1,0.051,0.896,0.0000267,0.107,0.185,150.188,3
6on4GVvOv2zH9NI1raoK1D,"The Battle of Alesia","The Battle of Alesia","Tyler Cunningham",2020-03-04,178413,23,,2025-03-01T13:26:21Z,"medieval","898289 Records DK",0.525,0.337,11,-16.535,1,0.0386,0.218,0.703,0.0651,0.0755,104.07,3
1BwRxaN3jqNgawlcquPN2p,"Legio XIV Gemina","Songs of Rome","Farya Faraji",2022-09-06,221095,43,,2025-03-01T13:25:24Z,"medieval","Farya Faraji",0.724,0.267,6,-14.07,1,0.0334,0.41,0.331,0.1,0.276,80.114,4
5XcUIi3W5qlBVxKoCUnHRs,"Kyrie Eleison - Byzantine Version - Original Motion Picture Soundtrack","Man of God (Original Motion Picture Soundtrack)","Zbigniew Preisner,Choir of Chanters The Maestros of the Psaltic Art,Achilleas G. Chaldaekes",2021-09-10,87285,45,,2025-03-01T13:24:12Z,"réquiem","Preisner Productions",0.253,0.115,4,-18.022,1,0.0376,0.982,0.0268,0.107,0.207,130.814,3
3Ss4bhL8qv8oXFQZ4eILpw,"The Shadows over Me","Justinian Symphony","Farya Faraji",2024-06-30,177802,46,,2025-03-01T13:22:01Z,"medieval","Farya Faraji",0.59,0.413,6,-12.249,1,0.0335,0.773,0.795,0.145,0.0806,150.024,4
1CSNaLDJMe2OwabywDw8Gv,"Belisarius","Songs of Rome and Byzantium, Vol. 3","Farya Faraji",2023-12-05,430930,58,,2025-03-01T13:13:26Z,"medieval","Farya Faraji",0.31,0.469,9,-8.54,1,0.0323,0.442,0.00672,0.168,0.387,180.035,4
7eks8WR2fxPgn82kCdTLXz,"Gandagana","Georgian Polyphony Singing - Folk Songs","Basiani Ensemble",2014-07-14,160546,58,,2025-03-01T13:08:29Z,"música tradicional","Basiani Ensemble",0.345,0.17,6,-15.287,1,0.0466,0.974,0.00000647,0.18,0.596,82.465,4
0WcSKHGAqkYVDASimOYN0A,"Ачарули","Gaudete","АлконостЪ (ансамбль этнической и духовной музыки)",2021-10-29,121215,43,,2025-03-01T13:05:38Z,"","АлконостЪ (TLT)",0.555,0.364,8,-13.646,0,0.126,0.954,0.000764,0.108,0.743,99.969,3
1hkXBwXoTgbwJqTJI5cTVY,"Funk Do Balkan","Funk Do Balkan","Gentlemann-",2024-09-01,114663,8,,2025-03-01T13:05:23Z,"hardstyle","Gentlemann-",0.567,0.876,10,-2.088,0,0.031,0.0000077,0.833,0.12,0.348,128.013,4
